timestamp,w_x,w_y,w_z,w_yaw,v_x,v_y,v_z,v_yaw
1770084122.3979561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1770084122.417928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1770084122.437933,0.0,0.0,0.0,0.0,-0.0028308574110269547,0.002037460682913661,0.005259768106043339,-0.0009091363999718508
1770084122.4579024,0.0,0.0,0.0,0.0,-0.0028308574110269547,0.002037460682913661,0.005259768106043339,-0.0009091200631219885
1770084122.4778972,0.0,0.0,0.0,0.0,-0.0028308574110269547,0.002037460682913661,0.005259768106043339,-0.0009091266378663778
1770084122.4978883,0.0,0.0,0.0,0.0,-0.0028308574110269547,0.002037460682913661,0.005259768106043339,-0.0009091348635224823
1770084122.5178845,0.0,0.0,0.0,0.0,-0.0028308574110269547,0.002037460682913661,0.005259768106043339,-0.0009091348635224823
1770084122.5378654,0.0,0.0,0.0,0.0,-0.0028308574110269547,0.002037460682913661,0.005259768106043339,-0.0009091348635224823
1770084122.5578537,0.0,0.0,0.0,0.0,-0.0028308574110269547,0.002037460682913661,0.005259768106043339,-0.0009090563440267466
1770084122.5778365,0.0,0.0,0.0,0.0,-0.0028308574110269547,0.002037460682913661,0.005259768106043339,-0.000909069440429413
1770084122.597832,0.0,0.0,0.0,0.0,-0.002903185784816742,0.0022423556074500084,0.005306418985128403,-0.0010194503567049166
1770084122.6178198,0.0,0.0,0.0,0.0,-0.002903185784816742,0.0022423556074500084,0.005306418985128403,-0.0010194503567049166
1770084122.6383805,0.0,0.0,0.0,0.0,-0.002903185784816742,0.0022423556074500084,0.005306418985128403,-0.0010194503567049166
1770084122.6577888,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.0011401682111324327
1770084122.6777942,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.0011402265159396264
1770084122.697783,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.0011403125508317523
1770084122.717765,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.0011403125508317523
1770084122.7377713,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.0011403125508317523
1770084122.7577372,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.0011403009936706337
1770084122.7777307,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.0011403009936706337
1770084122.7977178,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.00114030096446238
1770084122.8177152,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.0011403002068595
1770084122.837689,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.0011403002068595
1770084122.8576715,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.0011402991096181923
1770084122.8776765,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.0011402991096181923
1770084122.897655,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.0011402976715836706
1770084122.9176555,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.001140296488815288
1770084122.9376366,0.0,0.0,0.0,0.0,-0.002999936230480671,0.0024796889629215,0.005372420884668827,-0.001140296488815288
1770084122.957621,0.0,0.0,0.0,0.0,-0.0030725246760994196,0.002556214341893792,0.005469038151204586,-0.0011874744539085425
1770084122.977631,0.0,0.0,0.0,0.0,-0.0030725246760994196,0.002556214341893792,0.005469038151204586,-0.0011874744539085425
1770084122.9975963,0.0,0.0,0.0,0.0,-0.0031630354933440685,0.002703364472836256,0.005583961959928274,-0.0012631373787948606
1770084123.017594,0.0,0.0,0.0,0.0,-0.003263734979555011,0.0028117375914007425,0.00566529855132103,-0.0013174624527983222
1770084123.037569,0.0,0.0,0.0,0.0,-0.003263734979555011,0.0028117375914007425,0.00566529855132103,-0.0013174624527983222
1770084123.0575676,0.0,0.0,0.0,0.0,-0.0033929261844605207,0.0028794766403734684,0.005755757447332144,-0.0013422581039293337
1770084123.077565,0.0,0.0,0.0,0.0,-0.0035333174746483564,0.0029435802716761827,0.005860144272446632,-0.0013598619272272108
1770084123.097552,0.0,0.0,0.0,0.0,-0.0035333174746483564,0.0029435802716761827,0.005860144272446632,-0.0013598619272272108
1770084123.1175263,0.0,0.0,0.0,0.0,-0.0035333174746483564,0.0029435802716761827,0.005860144272446632,-0.0013598140806456353
1770084123.1375046,0.0,0.0,0.0,0.0,-0.0035333174746483564,0.0029435802716761827,0.005860144272446632,-0.0013598140806456353
1770084123.157496,0.0,0.0,0.0,0.0,-0.0035333174746483564,0.0029435802716761827,0.005860144272446632,-0.0013598114647488389
1770084123.1774933,0.0,0.0,0.0,0.0,-0.0035333174746483564,0.0029435802716761827,0.005860144272446632,-0.001359805168309621
1770084123.1974936,0.0,0.0,0.0,0.0,-0.0035333174746483564,0.0029435802716761827,0.005860144272446632,-0.001359805168309621
1770084123.21747,0.0,0.0,0.0,0.0,-0.0035333174746483564,0.0029435802716761827,0.005860144272446632,-0.0013597583137808706
1770084123.2374105,0.0,0.0,0.0,0.0,-0.0035333174746483564,0.0029435802716761827,0.005860144272446632,-0.0013597583137808706
