timestamp,x,y,z
1769675378.3828812,0.0,0.0,0.0
1769675378.4028702,0.0,0.0,0.0
1769675378.4228587,0.0,0.0,0.0
1769675378.4428468,0.0,0.0,0.0
1769675378.4628377,0.0,0.0,0.0
1769675378.4828248,0.0,0.0,0.0
1769675378.502813,0.0,0.0,0.0
1769675378.5228045,0.0,0.0,0.0
1769675378.5427942,0.0,0.0,0.0
1769675378.5627794,0.0,0.0,0.0
1769675378.5827725,0.0,0.0,0.0
1769675378.6027553,0.0,0.0,0.0
1769675378.6227582,0.0,0.0,0.0
1769675378.6427548,0.0,0.0,0.0
1769675378.6627192,0.0,0.0,0.0
1769675378.6827087,0.0,0.0,0.0
1769675378.7026968,0.0,0.0,0.0
1769675378.7226846,0.0,0.0,0.0
1769675378.7426722,0.0,0.0,0.0
1769675378.7626607,0.0,0.0,0.0
1769675378.782651,0.0,0.0,0.0
1769675378.8026412,0.0,0.0,0.0
1769675378.822626,0.0,0.0,0.0
1769675378.8426147,0.0,0.0,0.0
1769675378.8626027,0.0,0.0,0.0
1769675378.8825908,0.0,0.0,0.0
1769675378.9025788,0.0,0.0,0.0
1769675378.9225676,0.0,0.0,0.0
1769675378.9425566,0.0,0.0,0.0
1769675378.962547,0.0,0.0,0.0
1769675378.9825351,0.0,0.0,0.0
1769675379.002523,0.0,0.0,0.0
1769675379.0225115,0.0,0.0,0.0
1769675379.0425076,0.0,0.0,0.0
1769675379.0624888,0.0,0.0,0.0
1769675379.0824778,0.0,0.0,0.0
1769675379.1024659,0.0,0.0,0.0
1769675379.1224642,0.0,0.0,0.0
1769675379.142444,0.0,0.0,0.0
1769675379.1624315,0.0,0.0,0.0
1769675379.1824186,0.0,0.0,0.0
1769675379.2024083,0.0,0.0,0.0
1769675379.2223988,0.0,0.0,0.0
1769675379.2423882,0.0,0.0,0.0
1769675379.2623773,0.0,0.0,0.0
1769675379.2823653,0.0,0.0,0.0
1769675379.3023558,0.0,0.0,0.0
1769675379.3223422,0.0,0.0,0.0
1769675379.3423285,0.0,0.0,0.0
1769675379.3623183,0.0,0.0,0.0
1769675379.3823109,0.0,0.0,0.0
1769675379.4022977,0.0,0.0,0.0
1769675379.4222867,0.0,0.0,0.0
1769675379.4422753,0.0,0.0,0.0
1769675379.4622655,0.0,0.0,0.0
1769675379.4822514,0.0,0.0,0.0
1769675379.5022395,0.0,0.0,0.0
1769675379.5222301,0.0,0.0,0.0
1769675379.542229,0.0,0.0,0.0
1769675379.5622067,0.0,0.0,0.0
1769675379.5821922,0.0,0.0,0.0
1769675379.6021812,0.0,0.0,0.0
1769675379.622168,0.0,0.0,0.0
1769675379.642155,0.0,0.0,0.0
1769675379.6621642,0.0,0.0,0.0
1769675379.682139,0.0,0.0,0.0
1769675379.7021236,0.0,0.0,0.0
1769675379.7221098,0.0,0.0,0.0
1769675379.7420957,0.0,0.0,0.0
1769675379.7620869,0.0,0.0,0.0
1769675379.782076,0.0,0.0,0.0
1769675379.8020632,0.0,0.0,0.0
1769675379.8220525,0.0,0.0,0.0
1769675379.8420384,0.0,0.0,0.0
1769675379.862029,0.0,0.0,0.0
1769675379.8820188,0.0,0.0,0.0
1769675379.9020052,0.0,0.0,0.0
1769675379.9219956,0.0,0.0,0.0
1769675379.9419856,0.0,0.0,0.0
1769675379.961971,0.0,0.0,0.0
1769675379.98196,0.0,0.0,0.0
1769675380.001947,0.0,0.0,0.0
1769675380.0219343,0.0,0.0,0.0
1769675380.0419393,0.0,0.0,0.0
1769675380.0619228,0.0,0.0,0.0
