timestamp,state,loop_count,v_x,v_y,v_z,v_yaw,w_x,w_y,w_z,w_yaw
1771917773.2093716,INIT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1771917773.2428966,INIT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1771917773.2765744,INIT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1771917773.3104053,INIT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1771917773.3443894,INIT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1771917773.3785264,INIT,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1771917773.4124942,INIT,0,-7.209440809674561e-05,0.00032659852877259254,2.4636872694827616e-05,-8.199268776353658e-05,0.0,0.0,0.0,0.0
1771917773.4465268,INIT,0,-0.00013932572619523853,0.0004093943571206182,4.052030999446288e-05,-0.00011030750980062271,0.0,0.0,0.0,0.0
1771917773.5147023,INIT,0,-0.00018003677541855723,0.000545658462215215,6.359622057061642e-05,-0.00016437977915908424,0.0,0.0,0.0,0.0
1771917773.5488262,INIT,0,-0.00018003677541855723,0.000545658462215215,6.359622057061642e-05,-0.00016442643201604757,0.0,0.0,0.0,0.0
1771917773.5829964,INIT,0,-0.00018003677541855723,0.000545658462215215,6.359622057061642e-05,-0.00016441145089554624,0.0,0.0,0.0,0.0
1771917773.6170194,INIT,0,-0.00018003677541855723,0.000545658462215215,6.359622057061642e-05,-0.0001644184500415085,0.0,0.0,0.0,0.0
1771917773.6851022,INIT,0,-0.00018003677541855723,0.000545658462215215,6.359622057061642e-05,-0.00016442314300100933,0.0,0.0,0.0,0.0
1771917773.7190545,INIT,0,-0.00018003677541855723,0.000545658462215215,6.359622057061642e-05,-0.00016443483570202104,0.0,0.0,0.0,0.0
1771917773.7530034,INIT,0,-0.00018003677541855723,0.000545658462215215,6.359622057061642e-05,-0.00016437819321885098,0.0,0.0,0.0,0.0
