timestamp,state,loop_count,v_x,v_y,v_z,v_yaw,w_x,w_y,w_z,w_yaw,cmd_linear_x,cmd_angular_z
1772501765.6364944,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007469984457319745,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501765.669674,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007470247932811727,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501765.7028468,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007469530312955661,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501765.7360146,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007469564395681361,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501765.769177,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007468440911529673,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501765.8023338,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007468568418379862,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501765.8354845,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007468385479088895,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501765.9017694,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007469505401284323,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501765.9349031,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007469565201474817,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501765.968031,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007469685418055826,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.0011532,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007468938507253929,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.03427,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007467803602076645,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.067381,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007466566103600612,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.100486,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007466590070259396,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.1335847,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.000746652502853218,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.1666784,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007466459512666586,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.1997664,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007465646922973209,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.2328486,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.000746579402141539,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.2659254,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007464685297176619,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.2989962,INIT,0,-0.00241883285343647,-0.004120234865695238,-0.001025293255224824,0.0007464456607941233,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.3320613,INIT,0,-0.002458944683894515,-0.004078094381839037,-0.0010247800964862108,0.0007248744928588916,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.365121,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007102159258653014,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.3981745,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007102318657448378,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.4312227,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007101961573634328,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.4642675,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007101642919497119,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.4975736,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007101383182317632,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.5308797,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.000710130731801612,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.5641844,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007101599896240763,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.59749,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007101536331534335,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.6307955,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007101584502002049,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.6641006,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007101183652563229,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.6974056,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007101320418791064,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.7307105,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.000710089458752006,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.764015,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007100715810796646,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.7973194,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007100942825336487,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.8306239,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007100860423645703,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.8639278,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007100462882839607,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.8972316,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007100445268442202,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.9305353,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007100441729752103,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.9638388,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.0007100133746563798,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501766.9971423,INIT,0,-0.002487779129296541,-0.004041297826915979,-0.0010144129628315568,0.000709962807787442,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501767.0304444,INIT,0,-0.0025997371412813663,-0.0041108401492238045,-0.0008701003971509635,0.0007144689448972265,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501767.0637474,INIT,0,-0.002738040406256914,-0.004137848038226366,-0.0008260597242042422,0.0007103411449907634,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501767.09705,INIT,0,-0.002738040406256914,-0.004137848038226366,-0.0008260597242042422,0.0007102300623398402,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501767.1303527,INIT,0,-0.002738040406256914,-0.004137848038226366,-0.0008260597242042422,0.0007102399100759424,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501767.163655,INIT,0,-0.002738040406256914,-0.004137848038226366,-0.0008260597242042422,0.0007102889559939666,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501767.1969573,INIT,0,-0.002738040406256914,-0.004137848038226366,-0.0008260597242042422,0.0007102307960934269,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501767.2302592,INIT,0,-0.002738040406256914,-0.004137848038226366,-0.0008260597242042422,0.0007102897227928098,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501767.2635612,INIT,0,-0.002738040406256914,-0.004137848038226366,-0.0008260597242042422,0.0007103227472643798,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501767.2968628,INIT,0,-0.002738040406256914,-0.004137848038226366,-0.0008260597242042422,0.0007104188051386551,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
1772501767.3301642,INIT,0,-0.002738040406256914,-0.004137848038226366,-0.0008260597242042422,0.0007103844179134568,0.00039976140707177505,-1.59809196989968e-07,0.0,-0.000999403567661589,0.0,0.0
