timestamp,x,y,yaw
1769678338.8116138,0.0,0.0,0.0
1769678338.8315814,0.0,0.0,0.0
1769678338.8515847,0.0,0.0,0.0
1769678338.871561,0.0,0.0,0.0
1769678338.891559,0.0,0.0,0.0
1769678338.911545,0.0,0.0,0.0
1769678338.931541,0.0,0.0,0.0
1769678338.9515347,0.0,0.0,0.0
1769678338.971512,0.0,0.0,0.0
1769678338.9915023,0.0,0.0,0.0
1769678339.0114968,0.0,0.0,0.0
1769678339.0314987,0.0,0.0,0.0
1769678339.0514696,0.0,0.0,0.0
1769678339.0714445,0.0,0.0,0.0
1769678339.0914464,0.0,0.0,0.0
1769678339.111446,0.0,0.0,0.0
1769678339.1314194,0.0,0.0,0.0
1769678339.1514122,0.0,0.0,0.0
1769678339.1713717,0.0,0.0,0.0
1769678339.1913843,0.0,0.0,0.0
1769678339.2113853,0.0,0.0,0.0
1769678339.2313523,0.0,0.0,0.0
1769678339.251355,0.0,0.0,0.0
1769678339.2713268,0.0,0.0,0.0
1769678339.2913263,0.0,0.0,0.0
1769678339.3113232,0.0,0.0,0.0
1769678339.3312995,0.0,0.0,0.0
1769678339.3512993,0.0,0.0,0.0
1769678339.3712723,0.0,0.0,0.0
1769678339.3912735,0.0,0.0,0.0
1769678339.411262,0.0,0.0,0.0
1769678339.4312468,0.0,0.0,0.0
1769678339.4512382,0.0,0.0,0.0
1769678339.4712062,0.0,0.0,0.0
1769678339.4912243,0.0,0.0,0.0
1769678339.511202,0.0,0.0,0.0
1769678339.5311916,0.0,0.0,0.0
1769678339.551187,0.0,0.0,0.0
1769678339.5711532,0.0,0.0,0.0
1769678339.591156,0.0,0.0,0.0
1769678339.6111372,0.0,0.0,0.0
1769678339.6311226,0.0,0.0,0.0
1769678339.6511188,0.0,0.0,0.0
1769678339.6710925,0.0,0.0,0.0
1769678339.6910977,0.0,0.0,0.0
1769678339.7110813,0.0,0.0,0.0
1769678339.7310653,0.0,0.0,0.0
1769678339.7510676,0.0,0.0,0.0
1769678339.7710419,0.0,0.0,0.0
1769678339.7910385,0.0,0.0,0.0
1769678339.811014,0.0,0.0,0.0
1769678339.8310087,0.0,0.0,0.0
1769678339.8510013,0.0,0.0,0.0
1769678339.8709745,0.0,0.0,0.0
1769678339.890982,0.0,0.0,0.0
1769678339.910964,0.0,0.0,0.0
1769678339.9309483,0.0,0.0,0.0
1769678339.9509149,0.0,0.0,0.0
1769678339.9709272,0.0,0.0,0.0
1769678339.9909272,0.0,0.0,0.0
1769678340.0109067,0.0,0.0,0.0
1769678340.0308921,0.0,0.0,0.0
1769678340.0508885,0.0,0.0,0.0
1769678340.0708756,0.0,0.0,0.0
1769678340.0908682,0.0,0.0,0.0
1769678340.110849,0.0,0.0,0.0
1769678340.1308334,0.0,0.0,0.0
1769678340.1508343,0.0,0.0,0.0
1769678340.170805,0.0,0.0,0.0
1769678340.1908216,0.0,0.0,0.0
1769678340.210778,0.0,0.0,-0.0003991312710787206
1769678340.2308068,0.0,0.0,-0.0007997051621251962
1769678340.2507968,0.0,0.0,-0.0015993040642527678
1769678340.27078,0.0,0.0,-0.0023986316063864047
