timestamp,vslam_x,vslam_y,vslam_yaw,wheel_x,wheel_y,wheel_yaw
1770007391.2170575,-0.005757023114711046,0.005684342700988054,-0.0028145728103059387,0.0,0.0,0.0
1770007391.2503986,-0.005757023114711046,0.005684342700988054,-0.002814562487744581,0.0,0.0,0.0
1770007391.2837396,-0.005757023114711046,0.005684342700988054,-0.0028145641591860882,0.0,0.0,0.0
1770007391.3170805,-0.005757023114711046,0.005684342700988054,-0.002814514054254295,0.0,0.0,0.0
1770007391.3504214,-0.005757023114711046,0.005684342700988054,-0.002814518778335855,0.0,0.0,0.0
1770007391.3837626,-0.005757023114711046,0.005684342700988054,-0.0028145401860425598,0.0,0.0,0.0
1770007391.4171035,-0.005757023114711046,0.005684342700988054,-0.0028145464746176995,0.0,0.0,0.0
1770007391.4504445,-0.005757023114711046,0.005684342700988054,-0.0028145352886864324,0.0,0.0,0.0
1770007391.4837856,-0.005757023114711046,0.005684342700988054,-0.002814527502703291,0.0,0.0,0.0
1770007391.5171254,-0.005757023114711046,0.005684342700988054,-0.0028145141653753815,0.0,0.0,0.0
1770007391.5504665,-0.005757023114711046,0.005684342700988054,-0.002814517999122787,0.0,0.0,0.0
1770007391.5838075,-0.005757023114711046,0.005684342700988054,-0.002814501830019966,0.0,0.0,0.0
1770007391.6171484,-0.005757023114711046,0.005684342700988054,-0.0028146165798003655,0.0,0.0,0.0
1770007391.6504893,-0.005757023114711046,0.005684342700988054,-0.0028146584081820843,0.0,0.0,0.0
1770007391.6838303,-0.005757023114711046,0.005684342700988054,-0.002814654720327875,0.0,0.0,0.0
1770007391.7171712,-0.005757023114711046,0.005684342700988054,-0.0028146862790531337,0.0,0.0,0.0
1770007391.7505121,-0.005757023114711046,0.005684342700988054,-0.0028146978959439047,0.0,0.0,0.0
1770007391.783853,-0.005757023114711046,0.005684342700988054,-0.0028146376369327804,0.0,0.0,0.0
1770007391.817194,-0.005757023114711046,0.005684342700988054,-0.00281463438281285,0.0,0.0,0.0
1770007391.850535,-0.005757023114711046,0.005684342700988054,-0.0028146430959207166,0.0,0.0,0.0
1770007391.8838758,-0.005757023114711046,0.005684342700988054,-0.0028146287376966035,0.0,0.0,0.0
1770007391.9172168,-0.005757023114711046,0.005684342700988054,-0.00281462800731978,0.0,0.0,0.0
1770007391.9505568,-0.005757023114711046,0.005684342700988054,-0.0028146263953118464,0.0,0.0,0.0
1770007391.9838974,-0.005757023114711046,0.005684342700988054,-0.0028146266317304494,0.0,0.0,0.0
1770007392.0172386,-0.005757023114711046,0.005684342700988054,-0.0028146263386051567,0.0,0.0,0.0
1770007392.0505795,-0.005757023114711046,0.005684342700988054,-0.002814626576550473,0.0,0.0,0.0
1770007392.0839202,-0.005757023114711046,0.005684342700988054,-0.0028146260962643465,0.0,0.0,0.0
1770007392.1172614,-0.005757023114711046,0.005684342700988054,-0.002814626808430885,0.0,0.0,0.0
1770007392.150602,-0.005757023114711046,0.005684342700988054,-0.002814626007969499,0.0,0.0,0.0
1770007392.1839428,-0.005757023114711046,0.005684342700988054,-0.0028146320595503946,0.0,0.0,0.0
1770007392.2172835,-0.005757023114711046,0.005684342700988054,-0.0028148235124952872,0.0,0.0,0.0
1770007392.2506258,-0.005757023114711046,0.005684342700988054,-0.002814814829825342,0.0,0.0,0.0
1770007392.2839675,-0.005757023114711046,0.005684342700988054,-0.0028149832501080632,0.0,0.0,0.0
1770007392.3173094,-0.005757023114711046,0.005684342700988054,-0.002814946703524861,0.0,0.0,0.0
1770007392.350651,-0.005757023114711046,0.005684342700988054,-0.0028149469074554025,0.0,0.0,0.0
1770007392.383992,-0.005757023114711046,0.005684342700988054,-0.002814976244044284,0.0,0.0,0.0
1770007392.417334,-0.005757023114711046,0.005684342700988054,-0.002814956328444416,0.0,0.0,0.0
1770007392.4506757,-0.005757023114711046,0.005684342700988054,-0.0028148367210931407,0.0,0.0,0.0
1770007392.4840176,-0.005757023114711046,0.005684342700988054,-0.002814799763933922,0.0,0.0,0.0
1770007392.5173597,-0.005757023114711046,0.005684342700988054,-0.002814853543085683,0.0,0.0,0.0
1770007392.5507014,-0.005757023114711046,0.005684342700988054,-0.0028149058913010208,0.0,0.0,0.0
1770007392.5840435,-0.005757023114711046,0.005684342700988054,-0.002814934831992831,0.0,0.0,0.0
1770007392.6173851,-0.005757023114711046,0.005684342700988054,-0.0028149374594276444,0.0,0.0,0.0
1770007392.6507273,-0.005757023114711046,0.005684342700988054,-0.002814975212624365,0.0,0.0,0.0
1770007392.6840692,-0.005757023114711046,0.005684342700988054,-0.002814780464271852,0.0,0.0,0.0
1770007392.717411,-0.005757023114711046,0.005684342700988054,-0.002814776533687692,0.0,0.0,0.0
1770007392.750753,-0.005757023114711046,0.005684342700988054,-0.0028149638522452633,0.0,0.0,0.0
1770007392.784095,-0.005757023114711046,0.005684342700988054,-0.0028149647495438338,0.0,0.0,0.0
1770007392.8174367,-0.005757023114711046,0.005684342700988054,-0.002814954524660796,0.0,0.0,0.0
1770007392.8507779,-0.005757023114711046,0.005684342700988054,-0.002814863963003497,0.0,0.0,0.0
1770007392.8841197,-0.005757023114711046,0.005684342700988054,-0.002814860491289036,0.0,0.0,0.0
1770007392.9174619,-0.005757023114711046,0.005684342700988054,-0.00281486432708688,0.0,0.0,0.0
