timestamp,w_x,w_y,w_z,w_yaw,v_x,v_y,v_z,v_yaw
1770091522.652946,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012332178537561786
1770091522.6729412,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012332178537561786
1770091522.6929312,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012339752211781494
1770091522.7129169,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012347643841629697
1770091522.732885,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012347643841629697
1770091522.752892,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012349137905475862
1770091522.7729037,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012349137905475862
1770091522.792871,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012351308244078183
1770091522.8128517,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012355818860056392
1770091522.8328226,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012355818860056392
1770091522.852831,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012359373274833962
1770091522.8728263,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012359373274833962
1770091522.8928084,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012368485605857425
1770091522.9128017,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012375638825383654
1770091522.932768,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012375638825383654
1770091522.9527824,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012378056974635826
1770091522.9727676,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.00012378056974635826
1770091522.992754,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.0001238169235016744
1770091523.0127404,0.0,0.0,0.0,0.0,-0.0035214475356042385,-2.4436707462882623e-05,0.011812533251941204,-0.0001238169235016744
